,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind Speed
83,Haines Junction,95,CA,1563644816,61,60.75,-137.51,56.68,4.29
84,Albany,75,US,1563644834,62,42.65,-73.75,88.16,6.93
85,Nanakuli,1,US,1563644949,83,21.39,-158.15,76.12,12.1
86,Aktau,0,KZ,1563644949,40,43.65,51.16,86.0,15.66
87,Bathsheba,75,BB,1563644827,66,13.22,-59.52,86.32,16.11
88,Dikson,100,RU,1563644875,84,73.51,80.55,48.22,19.37
89,Butaritari,13,KI,1563644949,67,3.07,172.79,84.22,6.06
90,Porto Murtinho,58,BR,1563644950,31,-21.7,-57.88,91.96,10.89
91,Bethel,90,US,1563644950,100,60.79,-161.76,52.38,8.05
92,Labuhan,1,ID,1563644950,96,-2.54,115.51,71.26,1.86
93,Avarua,24,CK,1563644908,73,-21.21,-159.78,69.8,3.36
94,Kaniama,0,CD,1563644951,27,-7.57,24.18,73.96,2.55
95,Abha,37,SA,1563644951,12,18.22,42.5,82.4,16.11
96,Saskylakh,62,RU,1563644832,69,71.97,114.09,59.2,5.99
97,Vezirkopru,75,TR,1563644951,52,41.14,35.45,69.8,11.41
98,Tegh,0,AZ,1563644952,80,39.56,46.48,53.44,6.15
99,Alofi,91,NU,1563644952,100,-19.06,-169.92,73.4,3.36
100,Cherskiy,42,RU,1563644857,80,68.75,161.3,39.58,2.68
101,Yellowknife,40,CA,1563644952,49,62.45,-114.38,68.0,8.05
102,Carnarvon,0,ZA,1563644815,50,-30.97,22.13,39.04,15.12
103,Cidreira,67,BR,1563644953,67,-30.17,-50.22,66.22,8.03
104,Solnechnyy,97,RU,1563644953,98,50.72,136.64,63.34,1.5
105,Chaplynka,90,UA,1563644953,39,46.36,33.54,77.56,6.13
106,Ostrovnoy,0,RU,1563644905,74,68.05,39.51,48.76,2.55
107,Sibolga,100,ID,1563644953,77,1.74,98.78,82.42,14.99
108,Coos Bay,1,US,1563644954,68,43.37,-124.22,65.35,8.05
109,Roebourne,50,AU,1563644954,39,-20.77,117.15,65.5,15.55
110,Jatiroto,22,ID,1563644954,88,-6.89,111.01,71.62,5.3
111,Grants,1,US,1563644791,17,35.15,-107.85,86.0,4.7
112,Acapulco,75,MX,1563644954,70,16.86,-99.88,86.0,4.7
113,Athens,0,GR,1563644955,25,37.98,23.73,80.28,11.41
114,Tokur,100,RU,1563644955,99,53.13,132.9,53.62,3.69
115,Vanimo,50,PG,1563644893,75,-2.67,141.3,82.78,7.47
116,Natal,40,BR,1563644955,58,-5.81,-35.21,82.4,17.22
117,Ureki,75,GE,1563644955,94,42.0,41.78,72.54,3.36
118,Barentu,63,ER,1563644955,61,15.11,37.59,79.18,5.88
119,Salto del Guaira,14,PY,1563644956,51,-24.06,-54.31,79.54,9.01
120,Smithers,90,CA,1563644956,82,54.78,-127.17,55.4,2.01
121,Calama,0,CL,1563644956,8,-22.46,-68.93,73.2,19.46
122,Bijar,15,IR,1563644956,25,35.87,47.6,74.5,8.79
123,Nikolskoye,20,RU,1563644957,68,59.7,30.79,66.24,6.71
124,Porbandar,39,IN,1563644957,83,21.64,69.61,83.14,10.94
125,Port Lavaca,40,US,1563644957,59,28.61,-96.63,92.39,11.41
126,Kondoa,23,TZ,1563644958,57,-4.91,35.78,64.06,2.64
127,Cockburn Town,40,TC,1563644890,62,21.46,-71.14,89.6,11.41
128,Lompoc,90,US,1563644958,72,34.64,-120.46,64.04,10.92
129,Mahebourg,40,MU,1563644877,83,-20.41,57.7,71.26,12.75
130,Oistins,75,BB,1563644843,66,13.07,-59.53,86.22,16.11
131,Komatipoort,45,MZ,1563644959,55,-25.43,31.96,62.6,8.05
132,Berlevag,0,NO,1563644959,85,70.86,29.09,52.9,1.28
133,Te Anau,85,NZ,1563644959,92,-45.41,167.72,43.9,7.14
134,Gao,46,ML,1563644959,24,16.28,-0.04,101.32,9.1
135,Usinsk,86,RU,1563644959,85,66.0,57.56,58.66,8.3
136,Homer,75,US,1563644960,77,59.64,-151.54,60.44,16.2
137,Vostok,83,RU,1563644960,89,46.45,135.83,64.6,2.62
138,Airai,10,TL,1563644814,74,-8.93,125.41,66.22,3.98
139,Severo-Kurilsk,94,RU,1563644960,98,50.68,156.12,45.7,11.86
140,Tshikapa,18,CD,1563644960,21,-6.42,20.79,76.48,1.61
141,Supata,75,CO,1563644961,63,5.06,-74.24,60.8,13.87
142,Abu Dhabi,0,AE,1563644947,63,24.47,54.37,97.74,9.17
143,Namibe,14,AO,1563644961,92,-15.19,12.15,69.1,2.95
144,Geraldton,75,CA,1563644961,56,49.72,-86.95,71.6,12.75
145,Mana,70,NG,1563644962,43,13.03,5.27,90.88,10.13
146,Port Elizabeth,1,US,1563644960,56,39.31,-74.98,95.0,10.29
147,Victoria,75,BN,1563644962,88,5.28,115.24,82.22,4.7
148,Harnosand,0,SE,1563644962,59,62.63,17.94,67.82,9.17
149,Axim,100,GH,1563644962,89,4.87,-2.24,76.48,10.98
150,Caravelas,33,BR,1563644962,73,-17.73,-39.27,73.06,14.18
151,Moerai,22,PF,1563644963,70,-22.43,-151.33,71.08,15.32
152,Kampene,97,CD,1563644963,47,-3.59,26.67,79.36,2.06
153,Abu Samrah,0,SY,1563644879,59,35.3,37.18,75.58,14.67
154,Huilong,51,CN,1563644963,91,31.15,106.5,75.76,1.95
155,Lorengau,76,PG,1563644848,83,-2.02,147.27,79.72,7.81
156,Leningradskiy,100,RU,1563644824,94,69.38,178.42,33.46,3.78
157,High Rock,75,BS,1563644964,66,26.63,-78.28,87.8,12.75
158,New Norfolk,0,AU,1563644964,62,-42.78,147.06,49.96,12.75
159,Lata,75,IN,1563644816,90,30.78,78.62,42.46,1.39
160,Ouahigouya,35,BF,1563644964,31,13.58,-2.42,95.2,5.37
161,Vila Franca do Campo,40,PT,1563644874,83,37.72,-25.43,75.2,9.17
162,Hof,0,DE,1563644965,39,50.32,11.92,78.53,12.75
163,Salalah,75,OM,1563644965,88,17.01,54.1,80.6,8.05
164,Kavaratti,97,IN,1563644965,77,10.57,72.64,82.78,26.26
165,Semnan,40,IR,1563644965,13,35.58,53.39,96.8,11.41
166,Michigan City,40,US,1563644966,70,41.71,-86.9,90.01,14.32
167,Beringovskiy,100,RU,1563644872,83,63.05,179.32,56.86,5.46
168,Bandipur,100,IN,1563644966,95,11.67,76.63,64.96,7.16
169,Angoche,23,MZ,1563644966,82,-16.23,39.91,68.02,4.61
170,Kaeo,85,NZ,1563644966,95,-35.1,173.78,43.0,3.0
171,Ahipara,74,NZ,1563644883,74,-35.17,173.16,56.5,14.81
172,Waingapu,89,ID,1563644967,93,-9.65,120.26,67.3,9.93
173,Loviisa,0,FI,1563644967,49,60.46,26.23,72.14,4.7
174,Tilichiki,100,RU,1563644967,98,60.47,166.1,50.38,3.4
175,Ancud,90,CL,1563644967,100,-41.87,-73.83,41.0,8.05
176,Alta Floresta,20,BR,1563644968,30,-9.87,-56.08,93.2,8.05
177,Kalanguy,100,RU,1563644968,87,51.01,116.52,55.6,7.52
178,Bandarbeyla,100,SO,1563644968,69,9.49,50.81,77.2,29.26
179,Huangchuan,75,CN,1563644968,88,24.57,102.46,64.4,4.47
180,Mekhe,20,SN,1563644968,58,15.11,-16.62,84.2,9.17
181,Pavlovka,0,RU,1563644969,80,52.69,47.13,61.0,5.23
182,Goderich,61,CA,1563644969,83,43.74,-81.71,83.37,1.99
183,Nome,1,US,1563644969,66,30.04,-94.42,91.38,8.05
184,Lianzhou,98,CN,1563644969,93,24.79,112.38,73.24,1.77
185,Gilgit,0,PK,1563644969,51,35.92,74.31,58.3,6.49
186,Likasi,0,CD,1563644970,39,-10.99,26.74,59.92,1.9
187,Jumla,21,NP,1563644970,95,29.28,82.18,53.62,1.7
188,Gat,20,SN,1563644970,58,14.69,-16.54,84.2,9.17
189,Belmonte,0,PT,1563644970,54,40.36,-7.35,85.1,11.01
190,Kearney,1,US,1563644967,62,40.7,-99.08,86.34,9.17
191,Pacific Grove,90,US,1563644710,72,36.62,-121.92,61.25,3.36
192,Boende,54,CD,1563644971,89,-0.28,20.88,74.32,4.16
193,Abancay,20,PE,1563644971,46,-13.64,-72.88,53.6,8.05
194,Aldan,0,RU,1563644971,76,58.61,125.39,43.36,6.11
195,Bagdarin,100,RU,1563644972,96,54.44,113.59,51.28,4.05
196,Gambo,78,CF,1563644972,96,4.65,22.26,70.72,2.04
197,Saint-Pierre,0,FR,1563644899,50,48.95,4.24,80.01,18.34
198,Honiara,100,SB,1563644929,82,-9.43,159.96,79.9,12.01
199,Straumen,75,NO,1563644972,41,63.87,11.3,74.21,13.87
200,Severodvinsk,40,RU,1563644973,59,64.56,39.82,64.4,4.47
201,Portland,75,US,1563644870,62,43.66,-70.25,91.06,6.93
202,Broken Hill,0,AU,1563644879,26,-31.97,141.45,60.8,16.11
203,Ribeira Grande,40,PT,1563644973,83,38.52,-28.7,75.2,6.93
204,Katsuura,75,JP,1563644973,88,33.93,134.5,78.48,17.22
205,Luwuk,87,ID,1563644870,98,-0.95,122.79,63.52,5.57
206,Srikakulam,0,IN,1563644974,89,18.29,83.89,79.72,5.39
207,Mlonggo,57,ID,1563644974,76,-6.53,110.7,80.62,17.2
208,Bud,0,NO,1563644974,68,62.91,6.91,64.22,5.82
209,Sept-Iles,75,CA,1563644917,82,50.2,-66.38,64.4,5.82
210,Vianopolis,30,BR,1563644775,36,-16.74,-48.52,79.36,9.37
211,Thanh Hoa,75,VN,1563644974,100,10.21,106.33,80.6,1.12
212,Bambous Virieux,40,MU,1563644967,83,-20.34,57.76,71.82,12.75
213,Alice Springs,0,AU,1563644975,18,-23.7,133.88,60.8,3.36
214,Ulaangom,67,MN,1563644975,53,49.98,92.07,63.52,5.75
215,Nowogard,0,PL,1563644975,39,53.67,15.12,80.44,4.7
216,Anadyr,75,RU,1563644975,87,64.73,177.51,59.0,6.71
217,Waddan,0,LY,1563644976,23,29.16,16.14,89.62,11.23
218,Vitim,0,RU,1563644976,49,59.44,112.57,54.34,12.77
219,Los Llanos de Aridane,20,ES,1563644819,73,28.66,-17.92,72.14,18.34
220,Mastic Beach,1,US,1563644976,52,40.77,-72.85,93.97,6.93
221,Coahuayana,100,MX,1563644976,77,18.62,-100.35,80.44,1.34
222,Hita,75,JP,1563644977,100,33.31,130.95,76.39,10.29
223,Esperance,75,AU,1563644977,81,-33.86,121.89,50.0,14.99
224,Muros,20,ES,1563644977,73,42.77,-9.06,69.33,16.11
225,Kodiak,1,US,1563644977,23,39.95,-94.76,91.51,6.93
226,Faya,42,SA,1563644842,12,18.39,42.45,82.4,16.11
227,Bowen,90,AU,1563644978,88,-20.01,148.25,63.28,6.93
228,Coquimbo,40,CL,1563644978,67,-29.95,-71.34,59.0,11.41
229,Morant Bay,20,JM,1563644978,55,17.88,-76.41,89.6,27.51
230,Buraydah,0,SA,1563644978,19,26.33,43.97,96.8,6.93
231,Zhangye,100,CN,1563644978,44,38.94,100.46,67.3,16.26
232,San Miguel,75,AR,1563644979,73,-34.54,-58.72,66.94,8.05
233,High Level,40,CA,1563644979,59,58.52,-117.13,66.2,3.36
234,Hailar,21,CN,1563644979,94,49.2,119.7,60.82,11.56
235,Klaksvik,97,FO,1563644979,100,62.23,-6.59,53.6,9.17
236,Kochevo,0,BG,1563644980,37,42.1,24.92,84.2,4.7
237,Arlit,48,NE,1563644980,68,18.74,7.39,76.84,29.06
238,Evans,1,US,1563644980,42,40.38,-104.69,83.59,6.93
239,Kaitangata,100,NZ,1563644980,90,-46.28,169.85,50.0,8.01
240,Aksu,0,KZ,1563644981,72,52.04,76.93,68.0,2.24
241,Nioro,6,GM,1563644981,30,13.79,-15.05,98.44,6.71
242,Palu,28,ID,1563644981,89,-0.9,119.87,74.32,3.09
243,Nakonde,1,ZM,1563644981,49,-9.33,32.75,64.42,6.89
244,Port Macquarie,40,AU,1563644981,93,-31.43,152.91,41.2,3.11
245,Samut Sakhon,40,TH,1563644848,83,13.55,100.27,85.35,11.41
246,Turukhansk,0,RU,1563644982,56,65.8,87.96,58.3,8.01
247,Tuktoyaktuk,90,CA,1563644852,87,69.44,-133.03,53.6,3.36
248,Brazzaville,75,CD,1563644982,78,-4.27,15.27,75.2,2.24
249,Qaqortoq,40,GL,1563644921,62,60.72,-46.03,59.0,6.93
250,Fagundes,90,BR,1563644982,94,-7.36,-35.78,68.0,19.46
251,Karla,0,EE,1563644983,46,59.37,24.93,70.63,9.17
252,Hithadhoo,46,MV,1563644813,76,-0.6,73.08,83.32,13.58
253,Tura,0,RU,1563644983,77,64.27,100.22,47.86,2.59
254,Slave Lake,75,CA,1563644796,87,55.28,-114.77,60.8,6.93
255,Yuci,0,CN,1563644983,83,37.68,112.73,71.6,1.77
256,Santa Cruz,89,BR,1563644892,55,-6.22,-36.02,80.62,14.25
257,Mount Isa,55,AU,1563644984,51,-20.73,139.49,39.2,5.28
258,Eirunepe,0,BR,1563644984,38,-6.66,-69.87,92.68,3.91
259,Yar-Sale,8,RU,1563644833,69,66.83,70.83,65.32,4.45
260,Kolda,18,SN,1563644984,51,12.89,-14.94,89.98,7.31
261,Port-Gentil,20,GA,1563644985,88,-0.72,8.78,78.8,6.93
262,Broome,40,GB,1563644985,93,52.47,1.45,69.28,10.29
263,Billings,20,US,1563644837,28,45.79,-108.5,70.86,11.41
264,Kukushtan,0,RU,1563644985,77,57.65,56.5,69.8,2.24
265,College,90,US,1563644896,82,64.86,-147.8,59.56,3.36
266,Bhabua,80,IN,1563644986,54,25.04,83.61,92.32,2.66
267,Jadu,0,LY,1563644986,40,31.95,12.03,82.96,13.29
268,Yarmouth,75,CA,1563644987,83,43.84,-66.12,71.92,9.17
269,San Juan Bautista,64,PY,1563644987,59,-26.67,-57.15,80.44,13.51
270,Nanortalik,100,GL,1563644987,93,60.14,-45.24,41.56,5.66
271,Sawakin,0,SD,1563644987,20,19.1,37.33,91.78,0.38
272,Komsomolskiy,87,RU,1563644860,75,67.55,63.78,61.18,3.71
273,Coihaique,40,CL,1563644988,80,-45.58,-72.07,35.17,5.82
274,Sulphur Springs,40,US,1563644988,55,33.14,-95.6,90.52,11.41
275,Pangody,35,RU,1563644988,71,65.85,74.49,69.64,0.96
276,Raiganj,40,IN,1563644988,70,25.63,88.13,86.74,7.38
277,Comodoro Rivadavia,0,AR,1563644870,43,-45.87,-67.48,50.0,14.99
278,Pandan,61,PH,1563644989,74,11.72,122.09,82.96,6.24
279,Araucaria,0,BR,1563644989,46,-25.59,-49.41,72.57,5.82
280,Brigantine,1,US,1563644989,50,39.41,-74.36,95.81,9.17
281,Saldanha,2,PT,1563644899,28,41.42,-6.55,86.38,13.76
282,Singkang,75,MY,1563644989,88,2.1,102.8,78.8,11.1
283,Kamaishi,97,JP,1563644990,99,39.28,141.86,62.8,1.14
284,Ximei,40,TW,1563644990,78,23.74,120.51,81.91,13.87
285,Neiafu,75,TO,1563644990,94,-18.65,-173.98,77.0,6.93
286,Praia da Vitoria,20,PT,1563644757,61,38.73,-27.07,79.97,11.48
287,Fairbanks,90,US,1563644721,82,64.84,-147.72,58.6,3.36
288,Amapa,75,HN,1563644991,70,15.09,-87.97,85.69,3.36
289,Pochutla,20,MX,1563644991,52,15.74,-96.47,89.53,5.1
290,Cosoveni,30,RO,1563644991,42,44.25,23.93,82.4,3.36
291,Fengzhen,0,CN,1563644991,81,40.43,113.15,64.24,0.34
292,Merrill,1,US,1563644991,37,42.03,-121.6,70.66,6.93
293,Hong Gai,40,VN,1563644992,100,20.96,107.09,77.0,8.05
294,Norfolk,0,US,1563644760,56,36.85,-76.29,95.49,3.36
295,Yumbing,8,PH,1563644992,75,9.24,124.66,82.78,2.95
296,Tarakan,75,ID,1563644992,83,3.3,117.63,79.54,4.25
297,Mercedes,85,UY,1563644993,72,-33.25,-58.03,72.0,5.01
298,Pontianak,44,ID,1563644993,77,-0.02,109.34,82.96,9.55
299,Quatre Cocos,40,MU,1563644993,83,-20.21,57.76,71.8,12.75
300,Upata,19,VE,1563644993,64,8.02,-62.41,89.01,5.01
301,Vestmannaeyjar,75,IS,1563644994,93,63.44,-20.27,55.4,10.29
302,Pangnirtung,75,CA,1563644994,63,66.15,-65.72,64.4,12.75
303,Tadine,0,NC,1563644994,74,-21.55,167.88,68.38,21.92
304,Nyurba,0,RU,1563644995,75,63.29,118.35,47.14,2.53
305,Kama,75,JP,1563644995,94,33.54,130.74,76.62,14.99
306,Gafanha da Encarnacao,20,PT,1563644995,82,40.62,-8.73,71.46,13.87
307,Fortuna,0,ES,1563644834,45,38.18,-1.13,87.15,12.75
308,Ngunguru,66,NZ,1563644996,95,-35.62,174.5,43.0,3.0
309,Inhambane,20,MZ,1563644996,77,-23.87,35.38,69.8,9.17
310,Resen,40,MK,1563644997,73,41.09,21.01,69.8,2.24
311,Prince Rupert,1,CA,1563644997,87,54.32,-130.32,59.0,3.36
312,Araouane,15,ML,1563644997,11,18.9,-3.53,109.06,9.53
313,Mattru,100,SL,1563644997,97,7.62,-11.83,73.24,2.93
314,Oranjemund,0,ZA,1563644911,74,-28.55,16.43,55.96,24.11
315,Kurumkan,99,RU,1563644997,85,54.33,110.32,53.08,5.35
316,Bull Savanna,47,JM,1563644998,72,17.89,-77.59,85.84,24.34
317,Kruisfontein,58,ZA,1563644998,78,-34.0,24.73,46.06,2.82
318,Ketchikan,40,US,1563644884,77,55.34,-131.65,60.8,9.17
319,Mnogovershinnyy,100,RU,1563644856,98,53.94,139.92,55.24,3.91
320,Clyde River,75,CA,1563644968,87,70.47,-68.59,42.8,12.75
321,Constitucion,20,MX,1563644850,56,23.99,-104.67,69.91,5.82
322,Vasilsursk,56,RU,1563644999,92,56.13,46.01,58.48,3.87
323,Henties Bay,0,NA,1563644999,84,-22.12,14.28,59.0,3.0
324,Copiapo,20,CL,1563644892,62,-27.37,-70.33,59.0,12.75
325,Upington,0,ZA,1563645000,37,-28.46,21.24,53.6,3.36
326,Rawson,100,AR,1563644812,79,-43.3,-65.11,42.1,24.47
327,Mahon,75,IE,1563645000,72,51.89,-8.4,63.95,11.41
328,Namwala,22,ZM,1563645000,25,-15.75,26.45,61.54,1.03
329,Jinxiang,11,CN,1563645000,74,35.07,116.31,79.0,4.79
330,Havoysund,0,NO,1563644812,55,71.0,24.66,62.6,4.7
331,Shiraz,40,IR,1563645001,15,29.61,52.54,93.2,4.7
332,El Jicaro,93,GT,1563645001,81,14.91,-89.89,74.86,1.16
333,Longyearbyen,75,NO,1563645001,87,78.22,15.63,44.6,5.82
334,Mombetsu,73,JP,1563645001,75,44.35,143.35,64.99,3.0
335,Nagato,75,JP,1563645002,100,34.35,131.14,77.0,10.29
336,Murupara,64,NZ,1563645002,99,-38.46,176.71,39.97,1.79
337,Boca do Acre,70,BR,1563645002,28,-8.76,-67.39,97.0,2.66
338,Isla Vista,0,US,1563645002,68,34.41,-119.86,67.19,3.36
339,Sorland,43,NO,1563645003,90,67.67,12.69,54.16,10.96
340,Pedasi,100,PA,1563645003,72,7.53,-80.03,84.04,8.52
341,Thompson,75,CA,1563645003,51,55.74,-97.86,62.6,9.17
342,Bari,0,IT,1563645003,51,41.13,16.86,80.46,5.82
343,Shellbrook,90,CA,1563645004,87,53.22,-106.39,60.8,6.93
344,Antofagasta,20,CL,1563645004,63,-23.65,-70.4,60.8,11.41
345,Hambantota,100,LK,1563645004,77,6.12,81.12,82.06,19.64
346,Itarema,62,BR,1563644816,65,-2.92,-39.92,82.42,13.38
347,Margate,0,AU,1563645005,62,-43.03,147.26,49.96,12.75
348,Gamba,18,CN,1563645005,65,28.28,88.52,44.44,4.83
349,Palmas,20,BR,1563645005,27,-10.18,-48.33,89.6,6.93
350,Todos Santos,5,MX,1563645005,62,23.45,-110.23,84.58,16.11
351,Changji,35,CN,1563645006,86,32.07,116.17,79.0,4.83
352,Baykit,80,RU,1563645006,59,61.68,96.39,52.54,9.6
353,Phonhong,100,LA,1563645006,97,18.5,102.42,75.94,1.36
354,Bassila,77,BJ,1563645006,91,9.0,1.66,75.04,2.66
355,Port-Cartier,75,CA,1563645006,82,50.03,-66.88,64.4,5.82
356,Mar del Plata,35,AR,1563645007,40,-46.43,-67.52,44.62,17.52
357,Liuli,0,TZ,1563645007,62,-11.1,34.65,74.68,3.6
358,La Sarre,47,CA,1563645007,28,48.8,-79.2,84.58,13.38
359,Okhotsk,0,RU,1563645007,59,59.36,143.24,50.92,16.55
360,Praya,75,ID,1563645008,94,-8.71,116.27,73.4,4.7
361,Borogontsy,0,RU,1563645008,69,62.67,131.17,41.92,2.86
362,Yulara,90,AU,1563644880,36,-25.24,130.99,60.8,11.41
363,Mareeba,90,AU,1563644840,72,-16.99,145.42,60.55,8.05
364,Havre-Saint-Pierre,90,CA,1563644896,82,50.23,-63.6,60.8,12.75
365,Arteaga,5,MX,1563645008,39,25.45,-100.85,80.46,6.78
366,Isla Mujeres,75,MX,1563645009,62,21.23,-86.73,89.31,11.41
367,Jinchang,88,CN,1563645009,31,38.52,102.19,73.24,0.74
368,Ler,75,NO,1563645009,41,63.2,10.3,74.32,13.87
369,Provideniya,100,RU,1563644755,89,64.42,-173.23,51.46,3.42
370,The Pas,1,CA,1563645010,59,53.82,-101.24,62.6,5.82
371,Kizema,46,RU,1563645010,92,61.11,44.83,59.38,3.31
372,Faanui,3,PF,1563645010,75,-16.48,-151.75,76.84,14.47
373,Egvekinot,100,RU,1563645010,93,66.32,-179.17,42.46,3.74
374,Bloomington,1,US,1563645011,56,40.47,-88.99,91.17,16.11
375,Goundam,2,ML,1563645011,26,16.42,-3.66,99.88,5.39
